;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords;à avoir;must have;code_vsme;defaut
10;B7;Ressources / Économie circulaire;Quantité de déchets dangereux produits;tonnes;déchets dangereux, toxiques, pollution, sécurité, traitement, gestion, environnement, réglementation, tonnes, stockage;hazardous waste, toxic, pollution, safety, treatment, management, environment, regulation, tons, storage;déchets dangereux, tonnes, traitement;hazardous waste, tons, pollution;B7_2;1
11;B7;Ressources / Économie circulaire;Quantité de déchets non dangereux produits;tonnes;déchets, non dangereux, recyclage, valorisation, économie circulaire, matières, environnement, production, tonnes, tri;waste, non-hazardous, recycling, valorization, circular economy, materials, environment, production, tons, sorting;déchets, non dangereux, recyclage;waste, non-hazardous, recycling;B7_3;1
12;B7;Ressources / Économie circulaire;Quantité de déchets recyclés ou réutilisés;tonnes;recyclage, réutilisation, valorisation, déchets, tonnes, économie circulaire, ressources, matières, durabilité, gestion;recycling, reuse, valorization, waste, tons, circular economy, resources, materials, sustainability, management;recyclage, déchets, tonnes;recycling, reuse, waste;B7_4;1
13;B7;Ressources / Économie circulaire;Flux massiques annuels de matières utilisées (si pertinent);tonnes;matières, flux massique, consommation, ressources, tonnes, approvisionnement, production, bilan matière, environnement, industrie;materials, mass flow, consumption, resources, tons, supply, production, material balance, environment, industry;matières, flux massique, tonnes;materials, mass flow, tons;B7_5;1
14;B8;Effectifs;Nombre total de salariés;nombre;effectifs, salariés, nombre, RH, travail, personnel, emploi, effectif total, organisation, social, ressources humaines;workforce, employees, HR, work, staff, employment, total headcount, organization, social, human resources;effectif total, effectifs;human resources, total headcount;B8_1;1
15;B8;Effectifs;Nombre de salariés par type de contrat (CDI/CDD/intérim);nombre;contrat, CDI, CDD, intérim, emploi, RH, effectifs, salariés, nombre, statut, ressources humaines, travail;contract, permanent, fixed-term, temporary, employment, HR, workforce, status, human resources, labor;effectifs, contrat;human resources, fixed-term;B8_2;1
16;B8;Effectifs;Nombre de salariés par sexe;nombre;égalité, genre, hommes, femmes, effectifs, salariés, nombre, parité, RH, diversité, inclusion, emploi;equality, gender, men, women, workforce, parity, HR, diversity, inclusion, employment;diversité, effectifs;diversity, inclusion;B8_3;1
17;B8;Effectifs;Nombre de salariés par pays;nombre;effectifs, salariés, nombre, pays, répartition géographique, emploi, international, RH, diversité, organisation, implantations, salariés;workforce, countries, geographical distribution, employment, international, HR, diversity, organization, locations, employees;répartition géographique, implantations;geographical distribution, international;B8_4;1
18;B8;Effectifs;Taux de rotation des salariés (si ≥ 50 salariés);%;rotation, turnover, mobilité, fidélisation, salariés, RH, emploi, effectifs, ressources humaines, taux;turnover, rotation, mobility, retention, employees, HR, employment, workforce, human resources, rate;fidélisation, effectifs;human resources, employees;B8_5;1
19;B9;Santé & sécurité;Nombre d’accidents du travail comptabilisables;nombre;accidents, nombre, travail, sécurité, santé, risques, prévention, fréquence, conditions de travail, indicateur social, salariés;accidents, work, safety, health, risks, prevention, frequency, working conditions, social indicator, employees;accidents, conditions de travail;accidents, working conditions;B9_1;1
20;B9;Santé & sécurité;Taux d’accidents du travail;%;accidents, taux, fréquence, gravité, sécurité, santé, prévention, conditions de travail, risques, indicateur sécurité;accidents, rate, frequency, severity, safety, health, prevention, working conditions, risks, safety indicator;accidents, conditions de travail;accidents, working conditions;B9_2;1
21;B9;Santé & sécurité;Nombre de décès liés à des accidents ou maladies professionnelles;nombre;décès, accidents, maladies professionnelles, sécurité, santé, travail, risques, prévention, indicateur social, zéro accident;deaths, accidents, occupational diseases, safety, health, work, risks, prevention, social indicator, zero accident;accidents, zéro accident, décès;accidents, zero accident, occupational diseases;B9_3;1
22;B10;Rémunération;Écart de rémunération femmes / hommes;%;rémunération, écart, égalité salariale, genre, femmes, hommes, parité, RH, salaires, équité;pay, salary, gap, gender equality, women, men, parity, HR, wages, equity, compensation;égalité salariale, rémunération;gender equality, compensation;B10_1;1
23;B10;Rémunération;Pourcentage de salariés couverts par une convention collective;%;convention collective, droit du travail, syndicat, couverture, accord, RH, conditions de travail, salariés, juridique, protection;collective agreement, labor law, union, coverage, agreement, HR, working conditions, employees, legal, protection;conditions de travail, convention collective;collective agreement, working conditions;B10_2;1
24;B10;Formation;Nombre moyen d’heures de formation par salarié;heures/an;formation, heures, compétences, développement, apprentissage, salariés, RH, évolution, professionnelle, capacité;training, hours, skills, development, learning, employees, HR, career, professional, capacity;professionnelle, apprentissage;professional, development;B10_3;1
25;B10;Formation;Nombre moyen d’heures de formation par sexe;heures/an;formation, heures, salariés, égalité, genre, hommes, femmes, développement, compétences, RH, apprentissage, parité;training, hours, equality, gender, men, women, male, female, employees, development, skills, HR, learning, parity;apprentissage, développement;development, equality;B10_4;1
26;B11;Gouvernance / Corruption;Nombre total de condamnations pour corruption;nombre;corruption, condamnations, éthique, gouvernance, intégrité, conformité, risques, transparence, anticorruption, juridique;corruption, convictions, ethics, governance, integrity, compliance, risks, transparency, anti-corruption, legal;corruption, anticorruption, condamnations;corruption, anti-corruption, convictions;B11_1;1
27;B11;Gouvernance / Corruption;Montant total des amendes pour corruption;€;amendes, corruption, sanctions, éthique, gouvernance, intégrité, juridique, conformité, transparence, responsabilité;fines, corruption, penalties, ethics, governance, integrity, legal, compliance, transparency, accountability;corruption, amendes, transparence;corruption, fines, accountability;B11_2;1
0;B1;Base de préparation du rapport;Liste des filiales incluses dans le rapport de durabilité (nom et adresse légale);texte / liste;filiales, liste des filiales, adresse enregistrée, groupe, périmètre, consolidation, entités incluses;subsidiaries, list of subsidiaries, registered address, group, consolidation perimeter, included entities;adresse enregistrée, liste des filiales;consolidation perimeter, list of subsidiaries;B1_1;1
1;B1;Base de préparation du rapport;Forme ou désignation juridique de l’entreprise;texte;forme, juridique, statut, légal, société, anonyme, commercial, SARL, SAS, entreprise, individuelle, droit des sociétés;legal, form, legal, status, corporation, limited company, partnership, sole trader, company law;entreprise individuelle, droit des sociétés;limited company, legal status;B1_2;1
2;B1;Base de préparation du rapport;Code(s) NACE du secteur d’activité;code NACE;NACE, code activité, classification sectorielle, secteur économique, industrie, réglementation européenne;NACE, activity code, sector classification, economic sector, industry, EU classification;NACE, classification sectorielle;NACE, sector classification;B1_3;1
3;B1;Base de préparation du rapport;Taille du bilan (total des actifs ou passifs);€;taille, total, bilan, compte, consolidé, états, financiés, actif, passif, courant, seuils micro, petite, moyenne entreprise;balance sheet total, total assets, liabilities, micro enterprise, small enterprise, medium enterprise;taille du bilan, total bilan, actif;balance sheet total, total assets, medium enterprise;B1_4;1
4;B1;Base de préparation du rapport;Chiffre d’affaires net;€;chiffre d’affaires, ventes, revenus, net turnover, performance financière, taille de l’entreprise;turnover, revenue, sales, net turnover, financial performance, company size;chiffre d’affaires, ventes, revenus;financial performance, company size;B1_5;1
5;B1;Base de préparation du rapport;Nombre d’employés (effectif moyen ou équivalents temps plein);nombre;effectif, nombre d’employés, ETP, personnel, taille de l’effectif, ressources humaines;headcount, number of employees, FTE, staff, workforce size, human resources;taille de l’effectif, nombre d’employés;number of employees, human resources;B1_6;1
6;B1;Base de préparation du rapport;Pays principal d’opération et localisation des actifs significatifs;texte;pays d’opération, localisation des actifs, actifs significatifs, implantation géographique, sites principaux;country of operations, location of significant assets, geographic footprint, main sites, operations;localisation des actifs, actifs significatifs, implantation géographique;location of significant assets, country of operations;B1_7;1
7;B1;Base de préparation du rapport;Géolocalisation des sites détenus, loués ou gérés;coordonnées / adresses;géolocalisation, localisation des sites, adresses, sites industriels, bureaux, implantation, carte;geolocation, site location, addresses, industrial sites, offices, facilities, map;localisation des sites, sites industriels;industrial sites, site location;B1_8;1
8;B1;Base de préparation du rapport;Certifications ou labels liés à la durabilité (description, organisme, date et score le cas échéant);texte;certification, label, ISO 14001, ISO 45001, B Corp, notation ESG, rating, écolabel;certification, label, ISO 14001, ISO 45001, B Corp, ESG rating, ecolabel, sustainability label;certification, notation ESG;sustainability label, certification;B1_9;1
9;B2;Pratiques et politiques de durabilité;Pratiques opérationnelles mises en place pour réduire les impacts environnementaux et sociaux;texte / exemples;pratiques, bonnes pratiques, réduction des impacts, consommation d’eau, énergie, pollution, sécurité, conditions de travail;practices, good practices, impact reduction, water consumption, energy, pollution, safety, working conditions;conditions de travail, réduction des impacts;working conditions, water consumption;B2_1;1
10;B2;Pratiques et politiques de durabilité;Politiques formalisées en matière environnementale, sociale ou de gouvernance (ESG) et disponibilité publique;texte (oui/non et description);politique, politique environnementale, politique sociale, politique de gouvernance, ESG, charte, document public;policy, environmental policy, social policy, governance policy, ESG, code, public document;politique environnementale, politique de gouvernance;environmental policy, governance policy;B2_2;1
11;B2;Pratiques et politiques de durabilité;Initiatives et plans futurs en matière de durabilité;texte / plan d’action;initiative future, plan, transition durable, projets à venir, roadmap, stratégie de durabilité;future initiatives, plans, sustainable transition, upcoming projects, roadmap, sustainability strategy;stratégie de durabilité, transition durable;sustainability strategy, sustainable transition;B2_3;1
12;B2;Pratiques et politiques de durabilité;Objectifs et cibles pour suivre la mise en œuvre des politiques et les progrès réalisés;texte / indicateurs, valeur cible;objectifs, cibles, KPI, suivi, indicateurs de performance, progrès, plan d’action;targets, goals, KPIs, monitoring, performance indicators, progress, action plan;indicateurs de performance, plan d’action;performance indicators, action plan;B2_4;1
13;B3;Énergie et émissions de GES;Consommation d’électricité renouvelable;MWh;électricité, énergie renouvelable, consommation, MWh, énergie verte, solaire, éolien, hydroélectricité;electricity, renewable energy, consumption, MWh, green energy, solar, wind, hydropower;MWh, électricité, énergie renouvelable;MWh, electricity, renewable energy;B3_5;1
14;B3;Énergie et émissions de GES;Consommation d’électricité non renouvelable;MWh;électricité, énergie non renouvelable, consommation, MWh, réseau, énergie fossile;electricity, non-renewable energy, consumption, MWh, grid, fossil energy;MWh, électricité, énergie non renouvelable;MWh, electricity, non-renewable energy;B3_6;1
15;B3;Énergie et émissions de GES;Consommation totale d’électricité;MWh;électricité, consommation totale, MWh, énergie, facture d’électricité, bilan énergétique;electricity, total consumption, MWh, energy, electricity bill, energy balance;MWh, électricité, énergie;MWh, electricity, energy;B3_7;1
16;B3;Énergie et émissions de GES;Consommation de combustibles renouvelables;MWh;combustibles, carburants, énergie renouvelable, biomasse, biogaz, MWh, consommation;fuels, renewable fuels, biomass, biogas, MWh, energy consumption;MWh, énergie renouvelable, combustibles;MWh, fuels, renewable fuels;B3_8;1
17;B3;Énergie et émissions de GES;Consommation de combustibles non renouvelables;MWh;combustibles, carburants fossiles, diesel, gaz naturel, pétrole, MWh, consommation;fuels, fossil fuels, diesel, natural gas, oil, MWh, energy consumption;MWh, carburants fossiles;MWh, fuels, fossil fuels;B3_9;1
18;B3;Énergie et émissions de GES;Consommation totale de combustibles;MWh;combustibles, carburants, consommation totale, énergie, MWh, bilan énergétique;fuels, total fuel consumption, energy, MWh, energy balance;MWh, énergie, consommation totale;MWh, fuels, total fuel consumption;B3_10;1
19;B3;Énergie et émissions de GES;Intensité des émissions de GES (émissions de GES / chiffre d’affaires);tCO₂e/€ de chiffre d’affaires;intensité carbone, intensité GES, tCO₂e, chiffre d’affaires, performance climatique, efficacité carbone;GHG intensity, carbon intensity, tCO₂e, revenue, climate performance, carbon efficiency;intensité GES, tCO₂e, chiffre d’affaires;GHG intensity, climate performance;B3_11;1
20;B4;Pollution;Émissions de polluants dans l’air (par substance réglementée);kg ou tonnes/an;pollution de l’air, NOx, SOx, particules, COV, émissions atmosphériques, registre des émissions;air pollution, NOx, SOx, particulate matter, VOC, air emissions, pollutant register;émissions atmosphériques, registre des émissions;particulate matter, pollutant register;B4_1;1
21;B4;Pollution;Émissions de polluants dans l’eau (par substance réglementée);kg ou tonnes/an;pollution de l’eau, rejets aqueux, substances dangereuses, effluents, milieux aquatiques;water pollution, effluents, hazardous substances, discharges, aquatic environment;substances dangereuses, milieux aquatiques;hazardous substances, aquatic environment;B4_2;1
22;B4;Pollution;Émissions de polluants dans le sol (par substance réglementée);kg ou tonnes/an;pollution des sols, contamination, rejets, substances dangereuses, sites pollués;soil pollution, contamination, releases, hazardous substances, contaminated sites;substances dangereuses, pollution des sols;hazardous substances, contaminated sites;B4_3;1
23;B5;Biodiversité / Occupation des sols;Utilisation totale des terres par l’entreprise;ha;occupation des sols, surface totale, foncier, hectares, empreinte foncière, terrains;land use, total land, hectares, land footprint, land area, sites;occupation des sols, empreinte foncière;land footprint, total land;B5_3;1
24;B5;Biodiversité / Occupation des sols;Surface totale artificialisée ou imperméabilisée;ha;surface imperméabilisée, sols artificialisés, béton, bâtiments, parking, infrastructures;sealed area, impervious surface, artificial land, buildings, paved areas, infrastructure;surface imperméabilisée, sols artificialisés;impervious surface, artificial land;B5_4;1
25;B5;Biodiversité / Occupation des sols;Surface totale à vocation naturelle sur site;ha;surface naturelle, espaces verts, biodiversité, zones de nature, aménagement paysager;nature-oriented area on-site, green areas, biodiversity, natural zones, landscaping;aménagement paysager, surface naturelle;nature-oriented area on-site, natural zones;B5_5;1
26;B5;Biodiversité / Occupation des sols;Surface totale à vocation naturelle hors site soutenue par l’entreprise;ha;surface naturelle hors site, compensation, restauration écologique, projets de biodiversité;nature-oriented area off-site, offsetting, ecological restoration, biodiversity projects;surface naturelle hors site, projets de biodiversité;nature-oriented area off-site, ecological restoration;B5_6;1
27;B7;Ressources / Économie circulaire;Application des principes d’économie circulaire et description des pratiques;texte;économie circulaire, réemploi, réutilisation, éco-conception, allongement de la durée de vie, boucles de matière;circular economy, reuse, remanufacturing, eco-design, product lifetime, material loops;allongement de la durée de vie, économie circulaire;circular economy, product lifetime;B7_6;1
28;B10;Rémunération;Conformité de la rémunération au salaire minimum légal ou conventionnel;binaire (Oui/Non) ou description;salaire minimum, rémunération, droit du travail, sous-rémunération, conformité, salaire décent;minimum wage, pay, labour law, underpayment, compliance, decent wage;sous-rémunération, droit du travail;minimum wage, underpayment;B10_5;1
0;C1;Stratégie et modèle d’affaires;Description des principaux groupes de produits et/ou services;texte;modèle d’affaires, produits, services, offre, portefeuille, segments, propositions de valeur;business model, products, services, offering, portfolio, segments, value proposition;propositions de valeur, modèle d’affaires;value proposition, business model;C1_1;1
1;C1;Stratégie et modèle d’affaires;Description des principaux marchés (B2B, B2C, pays, canaux);texte;marchés, clients, B2B, B2C, pays, géographies, segments de marché, distribution;markets, customers, B2B, B2C, countries, geographies, market segments, distribution;segments de marché, distribution;market segments, distribution;C1_2;1
2;C1;Stratégie et modèle d’affaires;Description des principales relations d’affaires (fournisseurs, clients clés, canaux de distribution);texte;relations d’affaires, fournisseurs, clients, chaîne de valeur, partenaires, distribution, écosystème;business relationships, suppliers, key customers, value chain, partners, distribution, ecosystem;relations d’affaires, chaîne de valeur;business relationships, key customers;C1_3;1
3;C1;Stratégie et durabilité;Éléments de stratégie liés aux enjeux de durabilité (objectifs, priorités, axes de transition);texte;stratégie de durabilité, transition, climat, social, gouvernance, objectifs ESG, feuille de route;sustainability strategy, transition, climate, social, governance, ESG goals, roadmap;stratégie de durabilité, feuille de route;sustainability strategy, ESG goals;C1_4;1
4;C2;Pratiques et politiques de durabilité;Description synthétique des pratiques, politiques et initiatives de transition durable (complément B2);texte;pratiques, politiques, initiatives, transition durable, gouvernance ESG, gestion des risques;practices, policies, initiatives, sustainable transition, ESG governance, risk management;gestion des risques, transition durable;sustainable transition, risk management;C2_1;1
5;C2;Gouvernance de la durabilité;Niveau hiérarchique responsable de la mise en œuvre des politiques et initiatives de durabilité;texte (fonction/instance);responsabilité, gouvernance, direction, conseil, comité ESG, responsable RSE;responsibility, governance, management, board, ESG committee, sustainability officer;responsable RSE, comité ESG;sustainability officer, ESG committee;C2_2;1
6;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 1 (valeur absolue et année cible);tCO₂e et année cible;objectif GES, scope 1, réduction des émissions, cible climatique, neutralité carbone;GHG target, scope 1, emission reduction, climate target, carbon neutrality;scope 1, objectif GES, réduction des émissions;scope 1, GHG target, emission reduction;C3_1;1
7;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 2 (valeur absolue et année cible);tCO₂e et année cible;objectif GES, scope 2, électricité, énergie achetée, réduction des émissions;GHG target, scope 2, purchased energy, electricity, emission reduction;scope 2, objectif GES, réduction des émissions;scope 2, GHG target, emission reduction;C3_2;1
8;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 3 (si applicables);tCO₂e et année cible;objectif GES, scope 3, chaîne de valeur, amont, aval, transition climatique;GHG target, scope 3, value chain, upstream, downstream, climate transition;scope 3, objectif GES, transition climatique;scope 3, GHG target, climate transition;C3_3;1
9;C3;Climat / Objectifs de réduction GES;Année de référence et niveau d’émissions de référence pour les objectifs GES;année de base et tCO₂e;année de base, baseline, émissions de référence, trajectoire de réduction, historique;base year, baseline, reference emissions, reduction pathway, historical emissions;trajectoire de réduction, émissions de référence;historical emissions, reference emissions;C3_4;1
10;C3;Climat / Objectifs de réduction GES;Part des scopes 1, 2 et 3 couverts par les objectifs (en pourcentage des émissions totales);%;couverture des objectifs, scopes 1 2 3, pourcentage des émissions couvertes, périmètre climatique;target coverage, scopes 1 2 3, percentage of emissions covered, climate scope;pourcentage des émissions couvertes, couverture des objectifs;percentage of emissions covered, target coverage;C3_5;1
11;C3;Climat / Plan de transition;Principales actions prévues pour atteindre les objectifs climatiques;texte / liste;plan d’action, mesures de réduction, efficacité énergétique, renouvelables, décarbonation;action plan, reduction measures, energy efficiency, renewables, decarbonisation;efficacité énergétique, mesures de réduction;reduction measures, energy efficiency;C3_6;1
12;C3;Climat / Plan de transition;Existence d’un plan de transition climatique formel pour les secteurs à fort impact;binaire (Oui/Non) + description;plan de transition, climat, secteurs à fort impact, alignement, stratégie bas carbone;climate transition plan, high climate impact sectors, low-carbon strategy, alignment;secteurs à fort impact, stratégie bas carbone;high climate impact sectors, climate transition plan;C3_7;1
13;C3;Climat / Plan de transition;Intention et horizon pour l’adoption d’un plan de transition climatique (si absence actuelle);texte;projet de plan de transition, calendrier, engagement futur, stratégie climatique;planned transition plan, timeline, future commitment, climate strategy;projet de plan de transition, stratégie climatique;planned transition plan, future commitment;C3_8;1
14;C4;Risques climatiques;Description des aléas physiques et événements de transition liés au climat identifiés;texte;risques climatiques, aléas physiques, transition bas carbone, réglementation, marché;climate risks, physical hazards, transition risks, regulation, market changes;transition bas carbone, risques climatiques;physical hazards, transition risks;C4_1;1
15;C4;Risques climatiques;Méthodes d’évaluation de l’exposition et de la sensibilité des actifs, activités et chaîne de valeur aux risques climatiques;texte;évaluation des risques, exposition, sensibilité, scénarios climatiques, analyse de vulnérabilité;risk assessment, exposure, sensitivity, climate scenarios, vulnerability analysis;analyse de vulnérabilité, évaluation des risques;vulnerability analysis, climate scenarios;C4_2;1
16;C4;Risques climatiques;Horizon temporel des risques climatiques identifiés (court, moyen, long terme);texte / catégories de temps;horizon temporel, court terme, moyen terme, long terme, planification, prospective;time horizon, short term, medium term, long term, planning, foresight;horizon temporel, planification;time horizon, medium term;C4_3;1
17;C4;Risques climatiques;Actions d’adaptation mises en œuvre pour répondre aux risques climatiques;texte;adaptation, résilience, mesures d’adaptation, infrastructures, continuité d’activité;adaptation, resilience, adaptation measures, infrastructure, business continuity;continuité d’activité, mesures d’adaptation;adaptation measures, business continuity;C4_4;1
18;C4;Risques climatiques;Évaluation du niveau de risque climatique pour la performance financière et les opérations (faible/moyen/élevé);catégorie de risque;profil de risque, impact financier, gravité, probabilité, classification du risque;risk profile, financial impact, severity, likelihood, risk classification;classification du risque, impact financier;risk classification, financial impact;C4_5;1
19;C5;Effectifs / Caractéristiques complémentaires;Ratio femmes / hommes au niveau managérial;%;management, cadre, direction, ratio femmes hommes, diversité, égalité, leadership;management, leadership, female to male ratio, diversity, equality, managers;ratio femmes hommes, leadership;female to male ratio, leadership;C5_1;1
20;C5;Effectifs / Caractéristiques complémentaires;Nombre de travailleurs indépendants sans personnel travaillant exclusivement pour l’entreprise;nombre;indépendants, freelances, sous-traitants individuels, dépendance économique, effectifs élargis;self-employed, freelancers, individual contractors, economic dependence, extended workforce;sous-traitants individuels, dépendance économique;individual contractors, economic dependence;C5_2;1
21;C5;Effectifs / Caractéristiques complémentaires;Nombre de travailleurs temporaires fournis par des entreprises de travail intérimaire;nombre;intérim, travail temporaire, agences d’emploi, main-d’œuvre temporaire, flexibilité;temporary workers, agency workers, employment agencies, temp staff, flexible workforce;main-d’œuvre temporaire, travail temporaire;employment agencies, flexible workforce;C5_3;1
22;C6;Droits humains – politiques et processus;Existence d’un code de conduite ou d’une politique de droits humains pour l’effectif propre;binaire (Oui/Non);code de conduite, politique droits humains, charte éthique, responsabilité sociale, RSE;code of conduct, human rights policy, ethics charter, social responsibility, CSR;politique droits humains, responsabilité sociale;social responsibility, human rights policy;C6_1;1
23;C6;Droits humains – politiques et processus;Couverture du travail des enfants dans la politique de droits humains;binaire (Oui/Non);travail des enfants, exploitation, droits de l’enfant, interdiction, politique sociale;child labour, exploitation, children rights, prohibition, social policy;travail des enfants, droits de l’enfant;children rights, social policy;C6_2;1
24;C6;Droits humains – politiques et processus;Couverture du travail forcé dans la politique de droits humains;binaire (Oui/Non);travail forcé, servitude, coercition, droits fondamentaux, politique droits humains;forced labour, servitude, coercion, fundamental rights, human rights policy;travail forcé, politique droits humains;human rights policy, fundamental rights;C6_3;1
25;C6;Droits humains – politiques et processus;Couverture de la traite des êtres humains dans la politique de droits humains;binaire (Oui/Non);traite des êtres humains, trafic, exploitation, droits humains, politique d’entreprise;human trafficking, trafficking, exploitation, human rights, company policy;traite des êtres humains, politique d’entreprise;human trafficking, company policy;C6_4;1
26;C6;Droits humains – politiques et processus;Couverture de la discrimination dans la politique de droits humains;binaire (Oui/Non);discrimination, égalité, diversité, inclusion, non-discrimination, droits humains;discrimination, equality, diversity, inclusion, non-discrimination, human rights;discrimination, non-discrimination, droits humains;discrimination, non-discrimination, human rights;C6_5;1
27;C6;Droits humains – politiques et processus;Couverture de la prévention des accidents dans la politique de droits humains;binaire (Oui/Non);prévention des accidents, sécurité au travail, santé et sécurité, politique HSE;accident prevention, occupational safety, health and safety, HSE policy;prévention des accidents, sécurité au travail;accident prevention, occupational safety;C6_6;1
28;C6;Droits humains – politiques et processus;Couverture d’autres thèmes de droits humains dans la politique (à préciser);texte;droits humains, autres thèmes, harcèlement, liberté d’association, vie privée;human rights, other topics, harassment, freedom of association, privacy;liberté d’association, droits humains;freedom of association, human rights;C6_7;1
29;C6;Droits humains – politiques et processus;Existence d’un mécanisme de traitement des plaintes pour l’effectif propre;binaire (Oui/Non);mécanisme de plainte, canal de signalement, alerte éthique, whistleblowing, réclamations;grievance mechanism, reporting channel, ethics hotline, whistleblowing, complaints;canal de signalement, mécanisme de plainte;grievance mechanism, reporting channel;C6_8;1
30;C7;Droits humains – incidents graves;Incidents confirmés liés au travail des enfants dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, travail des enfants, violation des droits, enquête interne, cas confirmés;incident, child labour, rights violation, internal investigation, confirmed cases;travail des enfants, violation des droits;internal investigation, rights violation;C7_1;1
31;C7;Droits humains – incidents graves;Incidents confirmés liés au travail forcé dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, travail forcé, coercition, droits humains, cas confirmés;incident, forced labour, coercion, human rights, confirmed cases;travail forcé, droits humains;confirmed cases, forced labour;C7_2;1
32;C7;Droits humains – incidents graves;Incidents confirmés liés à la traite des êtres humains dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, traite des êtres humains, exploitation, droits humains, cas confirmés;incident, human trafficking, exploitation, human rights, confirmed cases;traite des êtres humains, droits humains;human trafficking, confirmed cases;C7_3;1
33;C7;Droits humains – incidents graves;Incidents confirmés de discrimination dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, discrimination, harcèlement, égalité, diversité, cas confirmés;incident, discrimination, harassment, equality, diversity, confirmed cases;discrimination, cas confirmés;discrimination, confirmed cases;C7_4;1
34;C7;Droits humains – incidents graves;Autres incidents graves en matière de droits humains dans l’effectif propre;texte / nombre;incident grave, droits humains, violations, cas majeurs, signalements;severe incident, human rights, violations, major cases, reports;droits humains, incident grave;severe incident, human rights;C7_5;1
35;C7;Droits humains – incidents graves;Actions entreprises pour traiter les incidents graves de droits humains;texte;remédiation, actions correctives, sanctions disciplinaires, prévention, plan d’action;remediation, corrective actions, disciplinary measures, prevention, action plan;sanctions disciplinaires, actions correctives;disciplinary measures, corrective actions;C7_6;1
